date,high,low,close
1999-11-01,98.8100,96.3700,96.7500
1999-11-02,96.8100,93.6900,94.8100
1999-11-03,95.9400,93.5000,94.3700
1999-11-04,94.4400,90.0000,91.5600
1999-11-05,92.9400,90.1900,90.2500
1999-11-08,93.9400,90.5000,93.9400
1999-11-09,95.5000,92.1200,93.6200
1999-11-10,97.0600,94.1200,97.0000
1999-11-11,97.5000,94.8700,95.0000
1999-11-12,96.2500,93.0000,95.8700
1999-11-15,96.3700,93.8700,94.0600
1999-11-16,95.0000,93.0000,94.6200
1999-11-17,94.8700,92.6200,93.7500
1999-11-18,98.2500,93.5600,98.0000
1999-11-19,105.1200,98.3700,103.9400
1999-11-22,108.4400,104.4400,107.8700
1999-11-23,109.8700,106.0000,106.0600
1999-11-24,105.0000,101.8100,104.5000
1999-11-26,106.0000,104.1200,105.0000
1999-11-29,104.9400,103.3700,104.1900
1999-11-30,104.5000,102.1200,103.0600
1999-12-01,104.4400,102.2500,103.4200
1999-12-02,106.3100,103.3700,105.2700
1999-12-03,112.8700,107.9400,111.8700
1999-12-06,116.5000,112.5000,116.0000
1999-12-07,119.1900,115.4400,116.6200
1999-12-08,121.0000,115.5000,118.2800
1999-12-09,122.1200,112.2500,113.3700
1999-12-10,111.9400,107.5600,109.0000
1999-12-13,112.7500,106.5600,109.7000
1999-12-14,110.1900,106.8700,109.2500
1999-12-15,107.9400,104.5000,107.0000
1999-12-16,109.6900,105.7500,109.1900
1999-12-17,111.0600,108.6200,110.0000
1999-12-20,110.4400,107.7500,109.2000
1999-12-21,110.1200,108.0600,110.1200
1999-12-22,110.3100,108.0000,108.0000
1999-12-23,110.4400,108.1900,108.6200
1999-12-27,110.0000,108.1200,109.7500
1999-12-28,110.7500,109.0600,109.8100
1999-12-29,110.5000,108.7500,109.0000
1999-12-30,110.5000,108.5600,108.7500
1999-12-31,109.5000,106.6200,107.8700
2000-01-03,116.0000,111.8700,116.0000
2000-01-04,114.5000,110.8700,112.0600
2000-01-05,119.7500,112.1200,116.0000
2000-01-06,118.9400,113.5000,114.0000
2000-01-07,117.9400,110.6200,113.5000
2000-01-10,119.3700,115.3700,118.0000
2000-01-11,121.1200,116.6200,119.0000
2000-01-12,122.0000,118.2500,119.5000
2000-01-13,121.0000,115.7500,118.2500
2000-01-14,123.3100,117.5000,119.6200
2000-01-18,119.7500,115.0000,115.7500
2000-01-19,122.0000,112.6900,119.5000
2000-01-20,124.7500,119.0000,119.0000
2000-01-21,123.0000,119.9400,121.5000
2000-01-24,122.8700,116.5600,121.5000
2000-01-25,119.5000,116.0000,119.1200
2000-01-26,119.9400,116.0000,116.7500
2000-01-27,118.4400,111.6200,113.5000
2000-01-28,114.1900,110.0600,111.5600
2000-01-31,112.8100,109.6200,112.2500
2000-02-01,113.4400,109.1200,110.0000
2000-02-02,115.8100,110.3700,113.5000
2000-02-03,117.5000,114.0600,117.1200
2000-02-04,118.4400,114.8100,115.6200
2000-02-07,116.8700,113.1200,114.1200
2000-02-08,119.0000,116.1900,118.8100
2000-02-09,119.7500,117.0000,117.3700
2000-02-10,119.1200,116.8700,119.1200
2000-02-11,119.4400,114.5600,115.3700
2000-02-14,116.3700,114.5000,116.0600
2000-02-15,117.4400,113.8700,117.1200
2000-02-16,117.3100,115.2500,115.7500
2000-02-17,118.8700,115.7500,116.7500
2000-02-18,115.9400,111.5000,112.5000
2000-02-22,113.4400,108.7500,111.0000
2000-02-23,110.5000,108.5000,108.7500
2000-02-24,111.0000,108.1900,110.5000
2000-02-25,109.8700,104.9400,108.0000
2000-02-28,106.5000,103.9400,104.5000
2000-02-29,105.5600,100.9400,102.7500
2000-03-01,105.5000,100.0600,100.2500
2000-03-02,105.4400,99.5000,103.1200
2000-03-03,110.0000,106.0600,108.0000
2000-03-06,111.0000,101.0000,103.0600
2000-03-07,107.0000,101.6900,103.0000
2000-03-08,106.8700,102.7500,106.2500
2000-03-09,108.0000,104.1200,108.0000
2000-03-10,109.0000,105.0000,105.2500
2000-03-13,109.0000,102.5000,107.6900
2000-03-14,110.0000,107.3700,108.6200
2000-03-15,108.2500,106.1200,107.0000
