5-12-1996,1,2,3,4,5,6
5-16-1996,2004.0005,4004.0005,1004.0005,3004.0005,5004.0005,6004.0005
5-17-1996,2005.0006,4005.0006,1005.0006,3005.0006,5005.0006,6005.0006
5-18-1996,2006.0007,4006.0007,1006.0007,3006.0007,5006.0007,6006.0007
5-28-1996,2016.0017,4016.0017,1016.0017,3016.0017,5016.0017,6016.0017
5-29-1996,2017.0018,4017.0018,1017.0018,3017.0018,5017.0018,6017.0018
5-30-1996,2018.0019,4018.0019,1018.0019,3018.0019,5018.0019,6018.0019
6-4-1996,2022.0023,4022.0023,1022.0023,3022.0023,5022.0023,6022.0023
6-5-1996,2023.0024,4023.0024,1023.0024,3023.0024,5023.0024,6023.0024
6-12-1996,2030.0031,4030.00310000001,1030.0031,3030.00310000001,5030.00310000001,6030.00310000001
6-13-1996,2031.0032,4031.00320000001,1031.0032,3031.00320000001,5031.00320000001,6031.00320000001
6-16-1996,2034.0035,4034.00350000001,1034.0035,3034.00350000001,5034.00350000001,6034.00350000001
6-20-1996,2038.0039,4038.00390000001,1038.0039,3038.00390000001,5038.00390000001,6038.00390000001
6-22-1996,2040.0041,4040.00410000001,1040.0041,3040.00410000001,5040.00410000001,6040.00410000001
6-27-1996,2045.0046,4045.00460000001,1045.0046,3045.00460000001,5045.00460000001,6045.00460000001
6-29-1996,2047.0048,4047.00480000001,1047.0048,3047.00480000001,5047.00480000001,6047.00480000001
6-31-1996,2049.005,4049.00500000001,1049.005,3049.00500000001,5049.00500000001,6049.00500000001
7-5-1996,2054.0055,4054.00550000001,1054.0055,3054.00550000001,5054.00550000001,6054.00550000001
7-11-1996,2060.0061,4060.00610000001,1060.0061,3060.00610000001,5060.00610000001,6060.00610000001
7-14-1996,2063.0064,4063.00640000001,1063.0064,3063.00640000001,5063.00640000001,6063.00640000001
7-17-1996,2066.0067,4066.00670000001,1066.0067,3066.00670000001,5066.00670000001,6066.00670000001
7-18-1996,2067.0068,4067.00680000001,1067.0068,3067.00680000001,5067.00680000001,6067.00680000001
7-19-1996,2068.0069,4068.00690000001,1068.0069,3068.00690000001,5068.00690000001,6068.00690000001
7-25-1996,2074.0075,4074.00750000002,1074.0075,3074.00750000002,5074.00750000002,6074.00750000002
8-5-1996,1,2,3,4,5,6
8-6-1996,1,2,3,4,5,6
8-7-1996,1,2,3,4,5,6
8-8-1996,2088.00890000001,4088.00890000002,1088.0089,3088.00890000002,5088.00890000002,6088.00890000002
8-9-1996,2089.00900000001,4089.00900000002,1089.009,3089.00900000002,5089.00900000002,6089.00900000002
8-10-1996,2090.00910000001,4090.00910000002,1090.0091,3090.00910000002,5090.00910000002,6090.00910000002
8-20-1996,2100.01010000001,4100.01010000002,1100.0101,3100.01010000002,5100.01010000002,6100.01010000002
8-21-1996,2101.01020000001,4101.01020000002,1101.0102,3101.01020000002,5101.01020000002,6101.01020000002
8-22-1996,2102.01030000001,4102.01030000002,1102.0103,3102.01030000002,5102.01030000002,6102.01030000002
8-23-1996,1,2,3,4,5,6
8-24-1996,1,2,3,4,5,6
8-25-1996,1,2,3,4,5,6
8-26-1996,2106.01070000001,4106.01070000002,1106.0107,3106.01070000002,5106.01070000002,6106.01070000002
8-27-1996,2107.01080000001,4107.01080000002,1107.0108,3107.01080000002,5107.01080000002,6107.01080000002
9-4-1996,2114.01150000001,4114.01150000002,1114.0115,3114.01150000002,5114.01150000002,6114.01150000002
9-5-1996,2115.01160000001,4115.01160000002,1115.0116,3115.01160000002,5115.01160000002,6115.01160000002
9-6-1996,1,2,3,4,5,6
9-7-1996,1,2,3,4,5,6
9-8-1996,2118.01190000001,4118.01190000002,1118.0119,3118.01190000002,5118.01190000002,6118.01190000002
9-12-1996,2122.01230000001,4122.01230000002,1122.0123,3122.01230000002,5122.01230000002,6122.01230000002
9-13-1996,1,2,3,4,5,6
9-14-1996,2124.01250000001,4124.01250000003,1124.0125,3124.01250000003,5124.01250000003,6124.01250000003
9-15-1996,1,2,3,4,5,6
9-17-1996,1,2,3,4,5,6
9-19-1996,2129.01300000002,4129.01300000003,1129.013,3129.01300000003,5129.01300000003,6129.01300000003
9-20-1996,1,2,3,4,5,6
9-21-1996,2131.01320000002,4131.01320000003,1131.0132,3131.01320000003,5131.01320000003,6131.01320000003
9-23-1996,2133.01340000002,4133.01340000003,1133.0134,3133.01340000003,5133.01340000003,6133.01340000003
9-26-1996,1,2,3,4,5,6
9-28-1996,2138.01390000002,4138.01390000003,1138.0139,3138.01390000003,5138.01390000003,6138.01390000003
10-1-1996,1,2,3,4,5,6
10-3-1996,2144.01450000002,4144.01450000003,1144.0145,3144.01450000003,5144.01450000003,6144.01450000003
10-6-1996,2147.01480000002,4147.01480000003,1147.0148,3147.01480000003,5147.01480000003,6147.01480000003
10-8-1996,1,2,3,4,5,6
10-9-1996,2150.01510000002,4150.01510000003,1150.0151,3150.01510000003,5150.01510000003,6150.01510000003
10-10-1996,2151.01520000002,4151.01520000003,1151.0152,3151.01520000003,5151.01520000003,6151.01520000003
10-11-1996,2152.01530000002,4152.01530000003,1152.0153,3152.01530000003,5152.01530000003,6152.01530000003
10-12-1996,1,2,3,4,5,6
10-13-1996,1,2,3,4,5,6
10-17-1996,2158.01590000002,4158.01590000003,1158.0159,3158.01590000003,5158.01590000003,6158.01590000003
10-20-1996,1,2,3,4,5,6
11-1-1996,2172.01730000002,4172.01730000003,1172.0173,3172.01730000003,5172.01730000003,6172.01730000003
11-2-1996,2173.01740000002,4173.01740000004,1173.0174,3173.01740000004,5173.01740000004,6173.01740000004
11-3-1996,2174.01750000002,4174.01750000004,1174.0175,3174.01750000004,5174.01750000004,6174.01750000004
11-13-1996,2184.01850000003,4184.01850000004,1184.0185,3184.01850000004,5184.01850000004,6184.01850000004
11-14-1996,2185.01860000003,4185.01860000004,1185.0186,3185.01860000004,5185.01860000004,6185.01860000004
11-15-1996,2186.01870000003,4186.01870000004,1186.0187,3186.01870000004,5186.01870000004,6186.01870000004
11-19-1996,2190.01910000003,4190.01910000004,1190.0191,3190.01910000004,5190.01910000004,6190.01910000004
11-20-1996,2191.01920000003,4191.01920000004,1191.0192,3191.01920000004,5191.01920000004,6191.01920000004
11-27-1996,2198.01990000003,4198.01990000004,1198.0199,3198.01990000004,5198.01990000004,6198.01990000004
11-28-1996,2199.02000000003,4199.02000000004,1199.01999999999,3199.02000000004,5199.02000000004,6199.02000000004
11-31-1996,2202.02030000003,4202.02030000004,1202.02029999999,3202.02030000004,5202.02030000004,6202.02030000004
0-4-1997,2206.02070000003,4206.02070000004,1206.02069999999,3206.02070000004,5206.02070000004,6206.02070000004
0-6-1997,2208.02090000003,4208.02090000004,1208.02089999999,3208.02090000004,5208.02090000004,6208.02090000004
0-11-1997,2213.02140000003,4213.02140000004,1213.02139999999,3213.02140000004,5213.02140000004,6213.02140000004
0-13-1997,2215.02160000003,4215.02160000004,1215.02159999999,3215.02160000004,5215.02160000004,6215.02160000004
0-15-1997,2217.02180000003,4217.02180000004,1217.02179999999,3217.02180000004,5217.02180000004,6217.02180000004
0-20-1997,2222.02230000003,4222.02230000005,1222.02229999999,3222.02230000005,5222.02230000005,6222.02230000005
0-26-1997,2228.02290000004,4228.02290000005,1228.02289999999,3228.02290000005,5228.02290000005,6228.02290000005
0-29-1997,2231.02320000004,4231.02320000005,1231.02319999999,3231.02320000005,5231.02320000005,6231.02320000005
1-1-1997,2234.02350000004,4234.02350000005,1234.02349999999,3234.02350000005,5234.02350000005,6234.02350000005
1-2-1997,2235.02360000004,4235.02360000005,1235.02359999999,3235.02360000005,5235.02360000005,6235.02360000005
1-3-1997,2236.02370000004,4236.02370000005,1236.02369999999,3236.02370000005,5236.02370000005,6236.02370000005
1-9-1997,2242.02430000004,4242.02430000005,1242.02429999999,3242.02430000005,5242.02430000005,6242.02430000005
1-23-1997,2256.02570000004,4256.02570000005,1256.02569999999,3256.02570000005,5256.02570000005,6256.02570000005
1-24-1997,2257.02580000004,4257.02580000005,1257.02579999999,3257.02580000005,5257.02580000005,6257.02580000005
1-25-1997,2258.02590000004,4258.02590000005,1258.02589999999,3258.02590000005,5258.02590000005,6258.02590000005
2-7-1997,2268.02690000004,4268.02690000005,1268.02689999999,3268.02690000005,5268.02690000005,6268.02690000005
2-8-1997,2269.02700000004,4269.02700000005,1269.02699999999,3269.02700000005,5269.02700000005,6269.02700000005
2-9-1997,2270.02710000004,4270.02710000005,1270.02709999999,3270.02710000005,5270.02710000005,6270.02710000005
2-13-1997,2274.02750000004,4274.02750000006,1274.02749999999,3274.02750000006,5274.02750000006,6274.02750000006
2-14-1997,2275.02760000004,4275.02760000006,1275.02759999999,3275.02760000006,5275.02760000006,6275.02760000006
2-21-1997,2282.02830000005,4282.02830000006,1282.02829999999,3282.02830000006,5282.02830000006,6282.02830000006
2-22-1997,2283.02840000005,4283.02840000006,1283.02839999999,3283.02840000006,5283.02840000006,6283.02840000006
2-25-1997,2286.02870000005,4286.02870000006,1286.02869999999,3286.02870000006,5286.02870000006,6286.02870000006
2-29-1997,2290.02910000005,4290.02910000006,1290.02909999999,3290.02910000006,5290.02910000006,6290.02910000006
2-31-1997,2292.02930000005,4292.02930000006,1292.02929999999,3292.02930000006,5292.02930000006,6292.02930000006
3-5-1997,2297.02980000005,4297.02980000006,1297.02979999999,3297.02980000006,5297.02980000006,6297.02980000006
