10-07-1988,1,2,3,4,5,6
10-11-1988,2004.0005,4004.0005,1004.0005,3004.0005,10004,20004
10-12-1988,2005.0006,4005.0006,1005.0006,3005.0006,10005,20005
10-13-1988,2006.0007,4006.0007,1006.0007,3006.0007,10006,20006
10-23-1988,2016.0017,4016.0017,1016.0017,3016.0017,10016,20016
10-24-1988,2017.0018,4017.0018,1017.0018,3017.0018,10017,20017
10-25-1988,2018.0019,4018.0019,1018.0019,3018.0019,10018,20018
10-29-1988,2022.0023,4022.0023,1022.0023,3022.0023,10022,20022
10-30-1988,2023.0024,4023.0024,1023.0024,3023.0024,10023,20023
11-06-1988,2030.0031,4030.0031,1030.0031,3030.0031,10030,20030
11-07-1988,2031.0032,4031.0032,1031.0032,3031.0032,10031,20031
11-10-1988,2034.0035,4034.0035,1034.0035,3034.0035,10034,20034
11-14-1988,2038.0039,4038.0039,1038.0039,3038.0039,10038,20038
11-16-1988,2040.0041,4040.0041,1040.0041,3040.0041,10040,20040
11-21-1988,2045.0046,4045.0046,1045.0046,3045.0046,10045,20045
11-23-1988,2047.0048,4047.0048,1047.0048,3047.0048,10047,20047
11-25-1988,2049.0050,4049.0050,1049.0050,3049.0050,10049,20049
11-30-1988,2054.0055,4054.0055,1054.0055,3054.0055,10054,20054
12-06-1988,2060.0061,4060.0061,1060.0061,3060.0061,10060,20060
12-09-1988,2063.0064,4063.0064,1063.0064,3063.0064,10063,20063
12-12-1988,2066.0067,4066.0067,1066.0067,3066.0067,10066,20066
12-13-1988,2067.0068,4067.0068,1067.0068,3067.0068,10067,20067
12-14-1988,2068.0069,4068.0069,1068.0069,3068.0069,10068,20068
12-20-1988,2074.0075,4074.0075,1074.0075,3074.0075,10074,20074
12-31-1988,1,2,3,4,5,6
01-01-1989,1,2,3,4,5,6
01-02-1989,1,2,3,4,5,6
01-03-1989,2088.0089,4088.0089,1088.0089,3088.0089,10088,20088
01-04-1989,2089.0090,4089.0090,1089.0090,3089.0090,10089,20089
01-05-1989,2090.0091,4090.0091,1090.0091,3090.0091,10090,20090
01-15-1989,2100.0101,4100.0101,1100.0101,3100.0101,10100,20100
01-16-1989,2101.0102,4101.0102,1101.0102,3101.0102,10101,20101
01-17-1989,2102.0103,4102.0103,1102.0103,3102.0103,10102,20102
01-18-1989,1,2,3,4,5,6
01-19-1989,1,2,3,4,5,6
01-20-1989,1,2,3,4,5,6
01-21-1989,2106.0107,4106.0107,1106.0107,3106.0107,10106,20106
01-22-1989,2107.0108,4107.0108,1107.0108,3107.0108,10107,20107
01-29-1989,2114.0115,4114.0115,1114.0115,3114.0115,10114,20114
01-30-1989,2115.0116,4115.0116,1115.0116,3115.0116,10115,20115
01-31-1989,1,2,3,4,5,6
02-01-1989,1,2,3,4,5,6
02-02-1989,2118.0119,4118.0119,1118.0119,3118.0119,10118,20118
02-06-1989,2122.0123,4122.0123,1122.0123,3122.0123,10122,20122
02-07-1989,1,2,3,4,5,6
02-08-1989,2124.0125,4124.0125,1124.0125,3124.0125,10124,20124
02-09-1989,1,2,3,4,5,6
02-11-1989,1,2,3,4,5,6
02-13-1989,2129.0130,4129.0130,1129.0130,3129.0130,10129,20129
02-14-1989,1,2,3,4,5,6
02-15-1989,2131.0132,4131.0132,1131.0132,3131.0132,10131,20131
02-17-1989,2133.0134,4133.0134,1133.0134,3133.0134,10133,20133
02-20-1989,1,2,3,4,5,6
02-22-1989,2138.0139,4138.0139,1138.0139,3138.0139,10138,20138
02-26-1989,1,2,3,4,5,6
02-28-1989,2144.0145,4144.0145,1144.0145,3144.0145,10144,20144
03-03-1989,2147.0148,4147.0148,1147.0148,3147.0148,10147,20147
03-05-1989,1,2,3,4,5,6
03-06-1989,2150.0151,4150.0151,1150.0151,3150.0151,10150,20150
03-07-1989,2151.0152,4151.0152,1151.0152,3151.0152,10151,20151
03-08-1989,2152.0153,4152.0153,1152.0153,3152.0153,10152,20152
03-09-1989,1,2,3,4,5,6
03-10-1989,1,2,3,4,5,6
03-14-1989,2158.0159,4158.0159,1158.0159,3158.0159,10158,20158
03-17-1989,1,2,3,4,5,6
03-28-1989,2172.0173,4172.0173,1172.0173,3172.0173,10172,20172
03-29-1989,2173.0174,4173.0174,1173.0174,3173.0174,10173,20173
03-30-1989,2174.0175,4174.0175,1174.0175,3174.0175,10174,20174
04-09-1989,2184.0185,4184.0185,1184.0185,3184.0185,10184,20184
04-10-1989,2185.0186,4185.0186,1185.0186,3185.0186,10185,20185
04-11-1989,2186.0187,4186.0187,1186.0187,3186.0187,10186,20186
04-15-1989,2190.0191,4190.0191,1190.0191,3190.0191,10190,20190
04-16-1989,2191.0192,4191.0192,1191.0192,3191.0192,10191,20191
04-23-1989,2198.0199,4198.0199,1198.0199,3198.0199,10198,20198
04-24-1989,2199.0200,4199.0200,1199.0200,3199.0200,10199,20199
04-27-1989,2202.0203,4202.0203,1202.0203,3202.0203,10202,20202
05-01-1989,2206.0207,4206.0207,1206.0207,3206.0207,10206,20206
05-03-1989,2208.0209,4208.0209,1208.0209,3208.0209,10208,20208
05-08-1989,2213.0214,4213.0214,1213.0214,3213.0214,10213,20213
05-10-1989,2215.0216,4215.0216,1215.0216,3215.0216,10215,20215
05-12-1989,2217.0218,4217.0218,1217.0218,3217.0218,10217,20217
05-17-1989,2222.0223,4222.0223,1222.0223,3222.0223,10222,20222
05-23-1989,2228.0229,4228.0229,1228.0229,3228.0229,10228,20228
05-26-1989,2231.0232,4231.0232,1231.0232,3231.0232,10231,20231
05-29-1989,2234.0235,4234.0235,1234.0235,3234.0235,10234,20234
05-30-1989,2235.0236,4235.0236,1235.0236,3235.0236,10235,20235
05-31-1989,2236.0237,4236.0237,1236.0237,3236.0237,10236,20236
06-06-1989,2242.0243,4242.0243,1242.0243,3242.0243,10242,20242
06-20-1989,2256.0257,4256.0257,1256.0257,3256.0257,10256,20256
